,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
hands,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fingers,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
L.hand.palm_position_x,-79.84811325077999,-45.92517852782,-48.35842514036,-50.1093070984,-51.798999023419995,-51.42533416746001,-51.934207153319996,-56.95543518068,-49.39103393552,-35.81097793578,-26.7080318451,-26.647308349619998,-27.798340225240004,-26.958356857280002,-24.104643631000002,-20.3114742279,-16.360387420680002,-15.249714469899999,-14.26663188934,-13.00794506072,-7.044434547419999,0.0,0.0,0.0,0.0,0.0
L.hand.palm_position_y,274.3171875,262.16677856440003,250.82723388679997,241.8752166746,235.3011627198,225.8516967774,213.9386413574,212.69742431659998,203.4684295656,186.57550964360001,170.85494384739997,165.01928100599997,164.4859222412,162.4955871584,160.776397705,158.68145141600002,158.6850646972,159.0724121094,159.5087005614,158.7723968506,95.29447937,0.0,0.0,0.0,0.0,0.0
L.hand.palm_position_z,34.8199123383,12.81718215944,7.71600131989,2.4878985643372,-1.48137215040596,-6.679207229613999,-9.832487106314,-8.088725471498,-3.332152795794,-3.935779809954,-4.667648029325999,-1.9581285238286,-0.9146286129952002,-2.070661878588,-2.7704734802239996,-4.070992136,-5.39043827057,-5.38900051117,-5.5268069267260005,-5.616752624512,-3.4471414566060004,0.0,0.0,0.0,0.0,0.0
L.pitch,98.2828278922,164.6440122728,177.02899772979998,176.62186107719998,-36.694943125200005,-178.5612659936,-106.4988434162,-176.11204209099998,34.4673943808,175.27807325140003,175.5884998888,175.7546128234,176.37442244480002,178.9510239132,177.76417744420002,177.8217231546,176.1324452326,175.48030695900002,174.78783505200002,174.95762536059996,105.2931428928,0.0,0.0,0.0,0.0,0.0
L.roll,2.924104250834,6.4193102508,-0.48658708975779996,-2.387817150268,-4.600131691304,-1.5217887471560003,12.126552781744001,24.772286860620003,-14.171813849738001,-8.428963749315999,-8.38354094175,-8.776234134926,-9.354238046414,-10.721762657780001,-10.737651044020001,-9.423772105039998,-8.889649768930001,-8.935395985956001,-9.609239405448,-10.05085024329,-6.54963581122,0.0,0.0,0.0,0.0,0.0
L.yaw,124.2271296365,130.92218769020002,131.2397177242,130.6734458578,131.1674351974,134.4220832126,140.4161043022,144.5649169806,140.6242912022,141.83879720559997,142.3031380594,143.14682762419997,143.2264840234,144.15624490140002,144.07263245640002,143.9998007824,142.9244148056,142.98806670519997,142.995560789,142.9693793074,85.68785509679999,0.0,0.0,0.0,0.0,0.0
L.Arm direction_x,-0.10396704673759997,-0.2758989214894,-0.1267440989614,-0.119991326332,-0.10550266802314001,-0.12855661958460002,-0.10826014578358001,-0.055133051238980005,-0.05713391229516,0.5136431932448,0.648621749878,0.6831082820891999,0.6854534387588,0.6779182791708,0.6697583436964001,0.672643816471,0.6817954659462,0.6843085527420001,0.6885874629020001,0.689161658287,0.41439714431759994,0.0,0.0,0.0,0.0,0.0
L.Arm direction_y,0.8042715728281999,0.9505774497985999,0.9864627242088,0.9860100984574001,0.9901905298232,0.9912627696992,0.9927422881126,0.9958176016808,0.9253086566927999,0.5017121374608,0.27243485152720004,0.1422825977206,0.1190700814128,0.1265235543252,0.1478704303502,0.15111273825160002,0.1519560843706,0.15854399800299998,0.1548209130764,0.15013022720820002,0.0876679331064,0.0,0.0,0.0,0.0,0.0
L.Arm direction_z,-0.0742164194584,-0.1300199419258,-0.10193592309944002,-0.1154293999076,-0.08530032858262,-0.025746688433000004,-0.04587070196868,-0.0317332647741,0.23998548127718,0.6875172495841999,0.7082621932025999,0.7161141753197999,0.7183130860328,0.7241241097450001,0.7277022123336,0.7243696093559999,0.7155738115312001,0.7117476820946,0.708429658413,0.7088838934898,0.42495734691619996,0.0,0.0,0.0,0.0,0.0
