,0,1,2,3,4,5,6
L.Index_I_s_z,-21.8773880004,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_e_x,18.242506408700002,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_e_y,16.74803466796,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_e_z,-23.2389144898,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_d_x,0.01300876289606,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_d_y,0.19004079103459998,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_d_z,0.0609530210494,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_s_x,18.242506408700002,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_s_y,16.74803466796,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_s_z,-23.2389144898,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_e_x,17.2596496582,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_e_y,13.974317932120002,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_e_z,-22.092956543,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_d_x,0.0622462451458,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_d_y,0.1756649255752,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_d_z,-0.0725757658482,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_s_x,12.351454162600001,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_s_y,24.816677856400002,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_s_z,-3.02745857238,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_e_x,13.15252838134,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_e_y,26.947555541999996,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_e_z,-15.92512817382,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_d_x,-0.01223291233182,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_d_y,-0.0325398564338,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_d_z,0.1969556212426,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_s_x,13.15252838134,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_s_y,26.947555541999996,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_s_z,-15.92512817382,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_e_x,14.75171356202,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_e_y,23.1782974244,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_e_z,-23.837463379,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_d_x,-0.0359005630016,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_d_y,0.0846171498298,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_d_z,0.1776262640954,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_s_x,14.75171356202,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_s_y,23.1782974244,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_s_z,-23.837463379,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_e_x,15.355680847159999,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_e_y,18.72145233154,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_e_z,-26.557171630800003,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_d_x,-0.022982209920800002,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_d_y,0.1695922136306,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_d_z,0.10349055528640001,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_D_s_x,15.355680847159999,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_D_s_y,18.72145233154,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_D_s_z,-26.557171630800003,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_D_e_x,15.75480957032,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_D_e_y,15.776176452639998,0.0,0.0,0.0,0.0,0.0,0.0
