,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
L.Thumb_P_s_z,0.0,0.0,0.0,11.3447883606,43.58351173402001,10.051313185675998,-14.781382560742,-31.75580215456,-41.31355743408,-40.39452285765999,-30.980493927000005,-28.617550659159996,-26.89615631102,-23.90083618166,-20.94252128602,-23.56410980224,-28.357387924199998,-23.52667655946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_e_x,0.0,0.0,0.0,32.936239624,125.6505874634,95.87372894292,46.45957984924,10.057483482352001,-3.6054495632661996,-2.310232007504,3.34587301835476,17.63822345734,22.75575561524,26.9498600006,32.05600662232,40.91405639646,45.612407684320004,36.83035507202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_e_y,0.0,0.0,0.0,68.1292541504,325.6847106932,352.52303466800004,358.07360839859996,337.0879394534,342.94432983400003,354.1989318848,343.5316589354,329.27367553700003,320.3940063478,310.30202026380005,292.6520935058,274.93427734399995,256.61523742659995,204.6029052734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_e_z,0.0,0.0,0.0,9.220501708979999,55.255393981939996,29.87145423888,10.130778932574,-3.319772601128,-11.144493198402,-20.26956310274,-3.7899466216554005,4.293595552444001,5.21164999008,8.404933834073999,12.08923168182,7.583327293399999,0.7370369493968,-0.5031056404118001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_d_x,0.0,0.0,0.0,0.1498920202256,0.7671141266821999,0.8395935416219998,0.7902101278306001,0.717280817032,0.472643494606,0.30399557948120004,0.3814586699008,0.27463689446440004,0.2423058122398,0.21270971596240001,0.19930646121480003,0.18444859087459997,0.2402529150248,0.1800927788018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_d_y,0.0,0.0,0.0,-0.1232987761498,-0.4885379910468,-0.12420437932021999,-0.2326742172242,-0.24242244362840001,-0.5257777512071999,-0.8348394274710002,-0.6804691672326,-0.6036239027976,-0.6394723653794,-0.6447910904884,-0.6300251364707999,-0.6815902113915999,-0.7103107094764001,-0.5776864886284001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_d_z,0.0,0.0,0.0,0.048267942667000005,-0.2652079105378,-0.4503522664308,-0.5660528898238001,-0.6461220741270001,-0.6854999303816001,-0.4572782516478,-0.617822253704,-0.7478053927421999,-0.7295518994332,-0.7340500950814001,-0.7505458235742,-0.7077304959294001,-0.6610820651054,-0.5231404781342001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_s_x,0.0,0.0,0.0,32.936239624,125.6505874634,95.87372894292,46.45957984924,10.057483482352001,-3.6054495632661996,-2.310232007504,3.34587301835476,17.63822345734,22.75575561524,26.9498600006,32.05600662232,40.91405639646,45.612407684320004,36.83035507202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_s_y,0.0,0.0,0.0,68.1292541504,325.6847106932,352.52303466800004,358.07360839859996,337.0879394534,342.94432983400003,354.1989318848,343.5316589354,329.27367553700003,320.3940063478,310.30202026380005,292.6520935058,274.93427734399995,256.61523742659995,204.6029052734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_s_z,0.0,0.0,0.0,9.220501708979999,55.255393981939996,29.87145423888,10.130778932574,-3.319772601128,-11.144493198402,-20.26956310274,-3.7899466216554005,4.293595552444001,5.21164999008,8.404933834073999,12.08923168182,7.583327293399999,0.7370369493968,-0.5031056404118001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_e_x,0.0,0.0,0.0,27.651940918,102.38761901844,71.34394378662,31.00597057344,-4.2512533128204,-17.655336952240003,-8.522666454324,-6.1062866926209995,8.204462814318001,12.174440574640002,16.560035514819997,22.788348770139997,32.3978038788,36.20152130126,30.08984680174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_e_y,0.0,0.0,0.0,69.7610107422,339.7763122558,359.0450805666,383.41740722659995,362.61943969720005,369.3139404296,375.9201538084,361.87452392579996,348.46447753900003,342.1753173828,333.0665893556,314.9687805176,297.9003662108,280.3055969238,223.40693359359997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_e_z,0.0,0.0,0.0,6.8626663208,63.823085784919996,43.2581192017,16.231574821464,4.526997709272,-6.791897940636,-0.1855313062674,18.39266605378,25.734637832620002,23.41514549254,25.51370849608,30.39501647948,25.440481948840002,17.13014392854,13.243959426859998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_d_x,0.0,0.0,0.0,0.1757876038552,0.7673037290574001,0.8090883612634,0.5097205758091999,0.4719582617282,0.4634202837944,0.20491044819379994,0.3117691516876,0.31116239428520004,0.3490131735802,0.3426970601082,0.3056836485862,0.2808994114398,0.31040787100780004,0.22232830524460004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_d_y,0.0,0.0,0.0,-0.0542820513248,-0.46479609608640005,-0.215122621692446,-0.8359377741814,-0.8421290159224,-0.8697729945182001,-0.7164510607719998,-0.6050193428992,-0.6329878568646,-0.7184328794479999,-0.7508645534514,-0.736091732979,-0.7575116515161999,-0.7814007878304,-0.6202303528784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_I_d_z,0.0,0.0,0.0,0.07843580842020001,-0.2825959861278,-0.44154461622240004,-0.20122814774520004,-0.25881726145739997,-0.14356562644235998,-0.6624501109121999,-0.7316692471504,-0.7072095990180001,-0.6004225134851999,-0.5643143296244,-0.6037964701654,-0.5889989733695999,-0.5407088279722,-0.4534319400788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_s_x,0.0,0.0,0.0,27.651940918,102.38761901844,71.34394378662,31.00597057344,-4.2512533128204,-17.655336952240003,-8.522666454324,-6.1062866926209995,8.204462814318001,12.174440574640002,16.560035514819997,22.788348770139997,32.3978038788,36.20152130126,30.08984680174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_s_y,0.0,0.0,0.0,69.7610107422,339.7763122558,359.0450805666,383.41740722659995,362.61943969720005,369.3139404296,375.9201538084,361.87452392579996,348.46447753900003,342.1753173828,333.0665893556,314.9687805176,297.9003662108,280.3055969238,223.40693359359997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_s_z,0.0,0.0,0.0,6.8626663208,63.823085784919996,43.2581192017,16.231574821464,4.526997709272,-6.791897940636,-0.1855313062674,18.39266605378,25.734637832620002,23.41514549254,25.51370849608,30.39501647948,25.440481948840002,17.13014392854,13.243959426859998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_e_x,0.0,0.0,0.0,24.065528869599998,99.82704772962,64.84154891968001,16.677359962445998,-18.73591613768,-27.841955566419994,-16.30799961088,-16.665467071520002,-1.89319782257,1.3105720400802,6.033254909516001,13.326270484920002,23.173083877560003,27.076181793219995,23.297492980979996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_e_y,0.0,0.0,0.0,69.280078125,356.4561828612,375.8956176758,393.95163574200006,371.1311279296,382.6946777346,394.55229492179996,378.2838623048,364.2152282716,358.83197631839994,350.3333496094,332.46471557639995,315.3924438476,298.4147827148,237.8808532714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_e_z,0.0,0.0,0.0,4.87852363586,68.6327545166,39.94766731262,24.51214103698,16.693596267700002,2.308155107508001,4.620571064956001,25.43523387908,34.823003387440004,29.43936996458,30.397561645499998,36.5023376465,31.91401519776,21.73376007082,17.84175567626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_d_x,0.0,0.0,0.0,0.17381083965299998,0.12304235994820001,0.3124575823546,0.6885284543038,0.6960273027422,0.48949461579319997,0.3741063654422,0.5073972940446001,0.48521987795820004,0.5220384001731999,0.5058402955533999,0.45467839241019997,0.4432725846766,0.43849726915340004,0.32639111280440003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_d_y,0.0,0.0,0.0,0.023307780921399998,-0.8015127599237999,-0.8097137093543999,-0.5061980068684001,-0.40900968313220004,-0.6429807186126,-0.8953249096874,-0.7885133028032,-0.7568661451337999,-0.8003977060318,-0.8297145247459999,-0.840726876259,-0.8405413508416,-0.870195400715,-0.6955113053324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_D_d_z,0.0,0.0,0.0,0.09615892171860001,-0.23111755102856,0.159076177957472,-0.39790364131316,-0.5846380114554001,-0.4372820436953999,-0.23094624876980002,-0.3384145021438,-0.4367205202579999,-0.28948037028319995,-0.2346823543312,-0.2934732675554,-0.3110706746578,-0.2212162226438,-0.2209366351366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_s_x,0.0,0.0,0.0,36.4426208496,153.8607971192,119.7797729492,65.9594078064,25.5853527069,-1.6996743917459998,-7.806651592256,2.6268914073699996,12.824186325084003,16.54434108734,18.82350845338,22.733549499500004,31.55804023742,37.762094116200004,30.003071594260007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_s_y,0.0,0.0,0.0,62.3285339356,310.49486084000006,344.78958129880004,346.4697143554,324.9479919432,312.84007568360005,308.53638305659996,302.24518432599996,290.84172973600005,280.6302124024,271.25772094719997,254.9493743896,234.2142822266,215.7579772948,171.560446167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_s_z,0.0,0.0,0.0,14.1340270996,25.7374513149364,-2.8393696695551998,-28.912965774539998,-44.87297134399999,-46.238184356679994,-41.206494140640004,-30.380471801779997,-25.489216995240003,-22.786982345600002,-19.77653312684,-17.81659812926,-19.53110580444,-26.242961883539998,-21.631091690060003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_e_x,0.0,0.0,0.0,25.611050415,94.46501922606001,63.798149871839996,15.726851558692001,-24.424293327319997,-41.49419860842,-41.76546936036,-31.746458816500002,-18.15749282836,-13.088354682939999,-8.006648826600001,-4.303781390189999,3.5717161297807998,6.129458332062,5.184379196168001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_e_y,0.0,0.0,0.0,65.1954650878,333.21801147459996,368.22255859399996,378.0482604982,351.4682739258,340.5611938478,336.3747741698,326.7573120116,318.27128295880004,310.62122802720006,301.60721435540006,284.48713989259994,265.4210266112,249.724066162,198.9844848632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_e_z,0.0,0.0,0.0,7.59585113526,30.515694808961996,15.234569215781999,-2.7432027399528005,-13.417241668720001,-3.4403677582744003,6.51643695831,18.8533153534,24.428006744359998,26.497505950959997,30.87643203736,33.208061981220006,29.945093154880006,19.02097549438,14.749642944340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_d_x,0.0,0.0,0.0,0.1669907093048,0.9157068967817998,0.8630707383156,0.7744372010232,0.7710005402564,0.613513612747,0.5235443472864001,0.5299352288246,0.47764567732800006,0.4568483948708,0.4136415302754,0.416835474968,0.4314662277698,0.48768150806439997,0.38263067007060003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_d_y,0.0,0.0,0.0,-0.0441995799542,-0.3503236472606,-0.3612670823934,-0.48684762716299995,-0.4088641583918,-0.42737747430800005,-0.4291855037214001,-0.37790438532860005,-0.422882437706,-0.4623726189136,-0.4678992569446,-0.455384773016,-0.48111557364459995,-0.5236564397812,-0.4227973937988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_M_d_z,0.0,0.0,0.0,0.10079928636560001,-0.07366635203364,-0.27864658683529997,-0.403460216522,-0.48495413661,-0.6598154902458,-0.7357461810112,-0.7590391039846001,-0.7695756673812001,-0.7598207950592001,-0.7809186100959999,-0.7866489887236001,-0.7627764701844001,-0.6978357672690001,-0.5608830928802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_s_x,0.0,0.0,0.0,25.611050415,94.46501922606001,63.798149871839996,15.726851558692001,-24.424293327319997,-41.49419860842,-41.76546936036,-31.746458816500002,-18.15749282836,-13.088354682939999,-8.006648826600001,-4.303781390189999,3.5717161297807998,6.129458332062,5.184379196168001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_s_y,0.0,0.0,0.0,65.1954650878,333.21801147459996,368.22255859399996,378.0482604982,351.4682739258,340.5611938478,336.3747741698,326.7573120116,318.27128295880004,310.62122802720006,301.60721435540006,284.48713989259994,265.4210266112,249.724066162,198.9844848632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_s_z,0.0,0.0,0.0,7.59585113526,30.515694808961996,15.234569215781999,-2.7432027399528005,-13.417241668720001,-3.4403677582744003,6.51643695831,18.8533153534,24.428006744359998,26.497505950959997,30.87643203736,33.208061981220006,29.945093154880006,19.02097549438,14.749642944340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_e_x,0.0,0.0,0.0,18.62617645264,67.08611679078,30.80454559328,1.037172818178,-33.70315628052,-56.3548652649,-53.853684997580004,-44.14430618285999,-32.935025024439994,-24.53160629272,-17.25300254822,-13.44524536134,-4.498962545394,-1.3765780031675998,-0.19073126167022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
