,0,1,2,3
L.Middle_D_s_x,0.0,0.0,0.0,0.0
L.Middle_D_s_y,0.0,0.0,0.0,0.0
L.Middle_D_s_z,0.0,0.0,0.0,0.0
L.Middle_D_e_x,0.0,0.0,0.0,0.0
L.Middle_D_e_y,0.0,0.0,0.0,0.0
L.Middle_D_e_z,0.0,0.0,0.0,0.0
L.Middle_D_d_x,0.0,0.0,0.0,0.0
L.Middle_D_d_y,0.0,0.0,0.0,0.0
L.Middle_D_d_z,0.0,0.0,0.0,0.0
L.Ring_M_s_x,0.0,0.0,0.0,0.0
L.Ring_M_s_y,0.0,0.0,0.0,0.0
L.Ring_M_s_z,0.0,0.0,0.0,0.0
L.Ring_M_e_x,0.0,0.0,0.0,0.0
L.Ring_M_e_y,0.0,0.0,0.0,0.0
L.Ring_M_e_z,0.0,0.0,0.0,0.0
L.Ring_M_d_x,0.0,0.0,0.0,0.0
L.Ring_M_d_y,0.0,0.0,0.0,0.0
L.Ring_M_d_z,0.0,0.0,0.0,0.0
L.Ring_P_s_x,0.0,0.0,0.0,0.0
L.Ring_P_s_y,0.0,0.0,0.0,0.0
L.Ring_P_s_z,0.0,0.0,0.0,0.0
L.Ring_P_e_x,0.0,0.0,0.0,0.0
L.Ring_P_e_y,0.0,0.0,0.0,0.0
L.Ring_P_e_z,0.0,0.0,0.0,0.0
L.Ring_P_d_x,0.0,0.0,0.0,0.0
L.Ring_P_d_y,0.0,0.0,0.0,0.0
L.Ring_P_d_z,0.0,0.0,0.0,0.0
L.Ring_I_s_x,0.0,0.0,0.0,0.0
L.Ring_I_s_y,0.0,0.0,0.0,0.0
L.Ring_I_s_z,0.0,0.0,0.0,0.0
L.Ring_I_e_x,0.0,0.0,0.0,0.0
L.Ring_I_e_y,0.0,0.0,0.0,0.0
L.Ring_I_e_z,0.0,0.0,0.0,0.0
L.Ring_I_d_x,0.0,0.0,0.0,0.0
L.Ring_I_d_y,0.0,0.0,0.0,0.0
L.Ring_I_d_z,0.0,0.0,0.0,0.0
L.Ring_D_s_x,0.0,0.0,0.0,0.0
L.Ring_D_s_y,0.0,0.0,0.0,0.0
L.Ring_D_s_z,0.0,0.0,0.0,0.0
L.Ring_D_e_x,0.0,0.0,0.0,0.0
L.Ring_D_e_y,0.0,0.0,0.0,0.0
L.Ring_D_e_z,0.0,0.0,0.0,0.0
L.Ring_D_d_x,0.0,0.0,0.0,0.0
L.Ring_D_d_y,0.0,0.0,0.0,0.0
L.Ring_D_d_z,0.0,0.0,0.0,0.0
L.Pinky_M_s_x,0.0,0.0,0.0,0.0
L.Pinky_M_s_y,0.0,0.0,0.0,0.0
L.Pinky_M_s_z,0.0,0.0,0.0,0.0
L.Pinky_M_e_x,0.0,0.0,0.0,0.0
L.Pinky_M_e_y,0.0,0.0,0.0,0.0
L.Pinky_M_e_z,0.0,0.0,0.0,0.0
L.Pinky_M_d_x,0.0,0.0,0.0,0.0
