,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
hands,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fingers,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
L.hand.palm_position_x,42.00749816893999,40.79362869264,42.001957702620004,42.1654006958,41.62385635374,41.49442443848,41.71436843874,41.8807144165,41.83496551514,42.363763427719995,42.29994506836,42.221286773680006,48.04296569824,68.29426345828,95.1287902832,104.0245773316,102.01773986820001,98.8908218384,96.96479339598,96.11019592284,95.37604522705999,93.69623413086,92.4483261108
L.hand.palm_position_y,203.6057495116,186.713973999,185.31061096180002,186.3049682618,187.2989410398,187.7189056396,187.7658813478,187.5265838624,187.241345215,185.37674560559998,184.10510559080004,184.1945739746,184.91838684080003,191.97380981459997,206.45935058599997,207.8041717528,207.2402770996,205.41484680180002,205.60750122079997,205.82142028799998,205.00933837860003,203.6129455568,202.87010192900001
L.hand.palm_position_z,-18.74506664278,-22.152755355840004,-22.0162075043,-21.273164367659998,-20.428640747099998,-20.00529708862,-19.8594470978,-19.971433639520004,-20.30278778076,-21.85618515016,-21.94097290042,-21.576532745360005,-23.386810302719997,-30.16766700746,-37.85639190674,-38.822999572739995,-38.43297958376,-39.06424560548,-38.66598587038,-38.25143508912,-37.9888328552,-37.632661437980005,-37.1597671509
L.pitch,26.479805742406,29.5906433546,29.25109962056,27.484506688099998,27.47925427258,28.440103439619996,28.431537016279997,28.37427475866,28.33031258706,27.89090533904,26.839146011580006,27.060361497960002,26.88607897398,29.23310821906,32.302888966059996,28.52507065236,31.402865366340002,32.556576538159995,32.98471465694,32.84118301102,32.323292107380006,32.439615011440004,32.5257402828
L.roll,99.6168731356,174.16681512099998,174.5719273056,170.1650509528,167.3505348684,169.76441390780002,170.66599615660002,170.4888975458,170.83891742420002,171.97135733759998,170.1946038158,169.7413087438,170.2664792632,128.37411182436,-10.470451991531998,-7.615212953048001,-6.467741756732002,-6.82025687391,-7.1660003707160005,-7.579957565194,-7.198569189,-7.481713830574,-7.96355499535
L.yaw,-10.45476321756,-8.54060558317,-7.940215214156,-9.738358498314,-10.63279602774,-9.968212808077999,-9.81122893364,-9.567514974603998,-9.452182618744,-8.835880299344,-9.381613103414,-9.778605559216,-8.75079748563,-6.701879790434001,-19.304864653979998,-18.47588936584,-17.79647336568,-18.031497787240003,-18.15481856166,-18.36272269226,-18.676958184500002,-18.750667196340004,-18.7503499341
L.Arm direction_x,-0.5001287281512,-0.5246948838236001,-0.5345398306847999,-0.5396003603934,-0.5295085310936001,-0.5214753866194,-0.523458814621,-0.5279302239418,-0.5293341159822,-0.5278208613394,-0.5360362768172,-0.5326512217521999,-0.511364543438,-0.4706581056118,-0.4053280949594,-0.41059761047359994,-0.4192724943164,-0.43296045660980004,-0.4415742695332,-0.4421409189702,-0.4413736104964,-0.44161182045940006,-0.443531662226
L.Arm direction_y,0.5299779057503999,0.4530487120154,0.4523207306864,0.46606492400160004,0.4825446784497999,0.47914570570000004,0.47278996109980004,0.468974584341,0.46757685542120003,0.4587279558182,0.45436012744899995,0.46056237220760005,0.46849078536040006,0.4814133346082,0.4991419792176,0.48746321201340004,0.4882914364338,0.45488698482500006,0.43903576731679994,0.44479402899740006,0.44994391798980005,0.4544656813146,0.455332398415
L.Arm direction_z,-0.6839746713638,-0.7206164240836,-0.7138831973076,-0.7011261105538,-0.697670674324,-0.7060234069822,-0.7088424921036001,-0.7080606698990001,-0.707936513424,-0.7148142337797999,-0.7114885568618,-0.7100356578828,-0.7203758120538,-0.7388467907904,-0.7656842947006,-0.7705669283865999,-0.765314245224,-0.7781668066978,-0.7824687480928,-0.7788853406908001,-0.7763619780539999,-0.773588502407,-0.77197933197
