,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
hands,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fingers,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
L.hand.palm_position_x,146.8624176024,181.41190795900002,181.99632873539997,181.6013122558,181.11462707519996,181.8339385986,185.8582885742,193.27412719720002,192.108743286,190.23512878419996,38.103219604399996,0.0,0.0,0.0,0.0,0.0,0.0
L.hand.palm_position_y,240.90498657220002,293.106384277,291.5288208006,290.42491455059996,290.11148681680004,290.68573608419996,296.6524230958,306.575378418,313.1763366698,309.88031005839997,61.8326171876,0.0,0.0,0.0,0.0,0.0,0.0
L.hand.palm_position_z,13.321416091939998,20.629903411860003,22.070823669439996,22.758770370500002,23.47805976866,23.8734840393,23.6260322571,21.53979415896,8.325276184082,7.233643245698,1.487591171264,0.0,0.0,0.0,0.0,0.0,0.0
L.pitch,-20.4835002109,-27.588731277940003,-23.792298308019998,-23.784547750760005,-24.009661567680002,-24.350349358400003,4.499674793936199,18.77347763788,33.451652007259995,32.18441386934,6.3188812825,0.0,0.0,0.0,0.0,0.0,0.0
L.roll,130.7516405964,152.71763850660003,150.9003081964,151.4258666706,153.5790182618,154.0256661934,148.46755597819998,152.38030912,-21.601536279699996,-74.3098321464,-15.06752179438,0.0,0.0,0.0,0.0,0.0,0.0
L.yaw,-50.275058704900005,-68.13978068762,-66.53832670482001,-66.45129370132,-67.07030009262,-66.98990056893999,-60.950186879579995,-48.30823194439999,-30.075608989440003,-32.18355941268,-6.413525848899999,0.0,0.0,0.0,0.0,0.0,0.0
L.Arm direction_x,-0.1416464954616,-0.15711897611620002,-0.1625008434058,-0.171308326721,-0.17455310523499995,-0.17566382884960002,-0.16551222950219996,-0.0270060796174244,-0.15317634181106002,-0.28752899169940005,-0.05676680803300001,0.0,0.0,0.0,0.0,0.0,0.0
L.Arm direction_y,0.6577778577804,0.8444892168046001,0.8550318002702,0.8530452847479999,0.8558539271354,0.8541790127754,0.8506845235824001,0.8769681572911999,0.8887320041656,0.8360815525056001,0.16634633541100002,0.0,0.0,0.0,0.0,0.0,0.0
L.Arm direction_z,-0.43269745111479996,-0.5118242144584,-0.49243538379659996,-0.4929130971432,-0.48686918616299996,-0.4894046247004001,-0.49752587676059995,-0.47770176529880004,-0.42091448903059997,-0.4671015143392,-0.0954276025296,0.0,0.0,0.0,0.0,0.0,0.0
L.wrist position_x,193.86989746100002,241.98114318819998,241.9281616212,241.583984375,241.4884155274,242.19953308100003,241.81127319339998,239.6530853274,223.1464843748,224.12478027340003,44.886102295,0.0,0.0,0.0,0.0,0.0,0.0
L.wrist position_y,236.744946289,286.1984130858,283.3912658692,282.379473877,281.87099609399996,282.672845459,276.03094482439997,276.505706787,279.5508666994,280.7050109864,56.111126709,0.0,0.0,0.0,0.0,0.0,0.0
L.wrist position_z,40.26311035156,50.90866394042,53.53994445802,54.21738891602,54.09164657592,54.552005767820006,57.73957977296,62.341318511960004,58.486801910400004,57.80302581786,11.62249069214,0.0,0.0,0.0,0.0,0.0,0.0
L.elbow position_x,229.08784179699995,281.0460449218,282.3311828612,284.1768310548,284.8880126954,285.87529296860004,282.96303100600005,246.3676818848,260.6047546386,293.9837158204,58.6475463868,0.0,0.0,0.0,0.0,0.0,0.0
L.elbow position_y,73.19987335204,76.23079833983999,70.80242462158,70.28454895019999,69.0777496338,70.29603881836,64.5229812622,58.4627799988,61.64928970336,77.56249694825999,15.78535766602,0.0,0.0,0.0,0.0,0.0,0.0
L.elbow position_z,147.8458343506,178.1648864746,175.97546691879998,176.7716857912,175.14322814960002,176.2339874268,181.44076538100003,181.11358032200002,161.658279419,171.2911071778,34.7561004638,0.0,0.0,0.0,0.0,0.0,0.0
