,0,1,2,3,4
hands,1.0,1.0,1.0,1.0,1.0
fingers,5.0,5.0,5.0,5.0,5.0
L.hand.palm_position_x,9.5753616333,0.0,0.0,0.0,0.0
L.hand.palm_position_y,26.4001281738,0.0,0.0,0.0,0.0
L.hand.palm_position_z,2.35423736572,0.0,0.0,0.0,0.0
L.pitch,4.6453042578199994,0.0,0.0,0.0,0.0
L.roll,0.1674863789658,0.0,0.0,0.0,0.0
L.yaw,-5.307052948939999,0.0,0.0,0.0,0.0
L.Arm direction_x,-0.10906563997259999,0.0,0.0,0.0,0.0
L.Arm direction_y,0.10793838500979999,0.0,0.0,0.0,0.0
L.Arm direction_z,-0.1282731175422,0.0,0.0,0.0,0.0
L.wrist position_x,14.14637145996,0.0,0.0,0.0,0.0
L.wrist position_y,21.7387039184,0.0,0.0,0.0,0.0
L.wrist position_z,13.9076675415,0.0,0.0,0.0,0.0
L.elbow position_x,39.9875274658,0.0,0.0,0.0,0.0
L.elbow position_y,-3.83537025452,0.0,0.0,0.0,0.0
L.elbow position_z,44.2996917724,0.0,0.0,0.0,0.0
L.Thumb_M_s_x,17.12482910156,0.0,0.0,0.0,0.0
L.Thumb_M_s_y,22.3981430054,0.0,0.0,0.0,0.0
L.Thumb_M_s_z,8.93314971924,0.0,0.0,0.0,0.0
L.Thumb_M_e_x,17.12482910156,0.0,0.0,0.0,0.0
L.Thumb_M_e_y,22.3981430054,0.0,0.0,0.0,0.0
L.Thumb_M_e_z,8.93314971924,0.0,0.0,0.0,0.0
L.Thumb_M_d_x,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_y,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_z,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_s_x,17.12482910156,0.0,0.0,0.0,0.0
L.Thumb_P_s_y,22.3981430054,0.0,0.0,0.0,0.0
L.Thumb_P_s_z,8.93314971924,0.0,0.0,0.0,0.0
L.Thumb_P_e_x,17.70838775634,0.0,0.0,0.0,0.0
L.Thumb_P_e_y,23.5058624268,0.0,0.0,0.0,0.0
L.Thumb_P_e_z,0.262273216248,0.0,0.0,0.0,0.0
L.Thumb_P_d_x,-0.0133220359683,0.0,0.0,0.0,0.0
L.Thumb_P_d_y,-0.025288078188800002,0.0,0.0,0.0,0.0
L.Thumb_P_d_z,0.1979470610618,0.0,0.0,0.0,0.0
L.Thumb_I_s_x,17.70838775634,0.0,0.0,0.0,0.0
L.Thumb_I_s_y,23.5058624268,0.0,0.0,0.0,0.0
L.Thumb_I_s_z,0.262273216248,0.0,0.0,0.0,0.0
L.Thumb_I_e_x,16.5024887085,0.0,0.0,0.0,0.0
L.Thumb_I_e_y,23.460258483799997,0.0,0.0,0.0,0.0
L.Thumb_I_e_z,-5.436866760260001,0.0,0.0,0.0,0.0
L.Thumb_I_d_x,0.0414006918668,0.0,0.0,0.0,0.0
L.Thumb_I_d_y,0.001565665751696,0.0,0.0,0.0,0.0
L.Thumb_I_d_z,0.19566177129739998,0.0,0.0,0.0,0.0
L.Thumb_D_s_x,16.5024887085,0.0,0.0,0.0,0.0
L.Thumb_D_s_y,23.460258483799997,0.0,0.0,0.0,0.0
L.Thumb_D_s_z,-5.436866760260001,0.0,0.0,0.0,0.0
L.Thumb_D_e_x,14.380935668940001,0.0,0.0,0.0,0.0
L.Thumb_D_e_y,22.7422454834,0.0,0.0,0.0,0.0
L.Thumb_D_e_z,-8.74941558838,0.0,0.0,0.0,0.0
L.Thumb_D_d_x,0.1061124444008,0.0,0.0,0.0,0.0
L.Thumb_D_d_y,0.035912424325999996,0.0,0.0,0.0,0.0
L.Thumb_D_d_z,0.16568176746360003,0.0,0.0,0.0,0.0
L.Index_M_s_x,15.0092300415,0.0,0.0,0.0,0.0
L.Index_M_s_y,25.964230346599997,0.0,0.0,0.0,0.0
L.Index_M_s_z,9.27144622802,0.0,0.0,0.0,0.0
L.Index_M_e_x,11.73335342408,0.0,0.0,0.0,0.0
L.Index_M_e_y,29.102410888599998,0.0,0.0,0.0,0.0
L.Index_M_e_z,-2.81724433898,0.0,0.0,0.0,0.0
L.Index_M_d_x,0.050742155313400004,0.0,0.0,0.0,0.0
L.Index_M_d_y,-0.0486092925072,0.0,0.0,0.0,0.0
L.Index_M_d_z,0.18724948167799998,0.0,0.0,0.0,0.0
L.Index_P_s_x,11.73335342408,0.0,0.0,0.0,0.0
L.Index_P_s_y,29.102410888599998,0.0,0.0,0.0,0.0
L.Index_P_s_z,-2.81724433898,0.0,0.0,0.0,0.0
L.Index_P_e_x,9.975207519540001,0.0,0.0,0.0,0.0
L.Index_P_e_y,28.5872161866,0.0,0.0,0.0,0.0
L.Index_P_e_z,-9.9254020691,0.0,0.0,0.0,0.0
L.Index_P_d_x,0.047902852296800004,0.0,0.0,0.0,0.0
L.Index_P_d_y,0.014037114381800001,0.0,0.0,0.0,0.0
L.Index_P_d_z,0.19367051124579998,0.0,0.0,0.0,0.0
L.Index_I_s_x,9.975207519540001,0.0,0.0,0.0,0.0
L.Index_I_s_y,28.5872161866,0.0,0.0,0.0,0.0
L.Index_I_s_z,-9.9254020691,0.0,0.0,0.0,0.0
L.Index_I_e_x,9.20929870606,0.0,0.0,0.0,0.0
L.Index_I_e_y,27.022317504799997,0.0,0.0,0.0,0.0
L.Index_I_e_z,-13.66958770752,0.0,0.0,0.0,0.0
L.Index_I_d_x,0.0370926767588,0.0,0.0,0.0,0.0
L.Index_I_d_y,0.07578746080399999,0.0,0.0,0.0,0.0
L.Index_I_d_z,0.18132951259619998,0.0,0.0,0.0,0.0
L.Index_D_s_x,9.20929870606,0.0,0.0,0.0,0.0
L.Index_D_s_y,27.022317504799997,0.0,0.0,0.0,0.0
L.Index_D_s_z,-13.66958770752,0.0,0.0,0.0,0.0
L.Index_D_e_x,8.74717788696,0.0,0.0,0.0,0.0
L.Index_D_e_y,25.583943176200002,0.0,0.0,0.0,0.0
