,0,1,2,3,4
hands,1.2,1.0,1.0,1.0,1.0
fingers,6.0,5.0,5.0,5.0,5.0
L.hand.palm_position_x,-194.6979003906,0.0,0.0,0.0,0.0
L.hand.palm_position_y,106.80300292960001,0.0,0.0,0.0,0.0
L.hand.palm_position_z,-140.11844482420003,0.0,0.0,0.0,0.0
L.pitch,-2.03603160402,0.0,0.0,0.0,0.0
L.roll,-34.2413779544,0.0,0.0,0.0,0.0
L.yaw,2.4878298398800003,0.0,0.0,0.0,0.0
L.Arm direction_x,0.0689800977706,0.0,0.0,0.0,0.0
L.Arm direction_y,0.011491062492139999,0.0,0.0,0.0,0.0
L.Arm direction_z,-0.187375831604,0.0,0.0,0.0,0.0
L.wrist position_x,-196.3450683594,0.0,0.0,0.0,0.0
L.wrist position_y,108.1589111328,0.0,0.0,0.0,0.0
L.wrist position_z,-127.16072998039999,0.0,0.0,0.0,0.0
L.elbow position_x,-212.45739745999998,0.0,0.0,0.0,0.0
L.elbow position_y,105.4748413086,0.0,0.0,0.0,0.0
L.elbow position_z,-83.393572998,0.0,0.0,0.0,0.0
L.Thumb_M_s_x,-200.463256836,0.0,0.0,0.0,0.0
L.Thumb_M_s_y,108.92482910160001,0.0,0.0,0.0,0.0
L.Thumb_M_s_z,-131.44185791019999,0.0,0.0,0.0,0.0
L.Thumb_M_e_x,-200.463256836,0.0,0.0,0.0,0.0
L.Thumb_M_e_y,108.92482910160001,0.0,0.0,0.0,0.0
L.Thumb_M_e_z,-131.44185791019999,0.0,0.0,0.0,0.0
L.Thumb_M_d_x,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_y,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_z,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_s_x,-200.463256836,0.0,0.0,0.0,0.0
L.Thumb_P_s_y,108.92482910160001,0.0,0.0,0.0,0.0
L.Thumb_P_s_z,-131.44185791019999,0.0,0.0,0.0,0.0
L.Thumb_P_e_x,-202.16784667999997,0.0,0.0,0.0,0.0
L.Thumb_P_e_y,108.7690429688,0.0,0.0,0.0,0.0
L.Thumb_P_e_z,-139.907385254,0.0,0.0,0.0,0.0
L.Thumb_P_d_x,0.0394725233316,0.0,0.0,0.0,0.0
