,0,1,2,3,4,5,6,7,8
L.Index_P_s_x,-13.01618041992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_s_y,43.26678161619999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_s_z,-33.8153533936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_e_x,-6.70555801392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_e_y,42.438708496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_e_z,-37.4616088868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_d_x,-0.1720645904542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_d_y,0.022578132152600003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_P_d_z,0.0994183182716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_s_x,-6.70555801392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_s_y,42.438708496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_s_z,-37.4616088868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_e_x,-4.98512077332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_e_y,38.764956665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_e_z,-38.218927002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_d_x,-0.0833801984786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_d_y,0.17804669141760002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_I_d_z,0.036703073978399996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_s_x,-4.98512077332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_s_y,38.764956665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_s_z,-38.218927002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_e_x,-4.984732055659999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_e_y,35.8546844482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_e_z,-38.019332885800004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_d_x,-2.6650886866199996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_d_y,0.1995312929154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Index_D_d_z,-0.01368438005448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_s_x,-22.6450393676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_s_y,36.7288909912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_s_z,-28.973507690400005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_e_x,-15.66371917724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_e_y,42.7734313964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_e_z,-36.452478027400005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_d_x,-0.1174990534782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_d_y,-0.1017325878144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_M_d_z,0.1258747577668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_s_x,-15.66371917724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_s_y,42.7734313964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_s_z,-36.452478027400005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_e_x,-10.141235351559999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_e_y,46.858898925800005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_e_z,-40.9841003418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_d_x,-0.1342120885848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_d_y,-0.0992884933948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_P_d_z,0.11013132333759998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_s_x,-10.141235351559999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_s_y,46.858898925800005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_s_z,-40.9841003418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_e_x,-6.34567260742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_e_y,48.270230102599996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_e_z,-43.6624725342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_d_x,-0.15635420084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_d_y,-0.05813829898839999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_I_d_z,0.1103327155114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_D_s_x,-6.34567260742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_D_s_y,48.270230102599996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
